county,prop2_yes,prop2_no,prop3_yes,prop3_no,prop4_yes,prop4_no,prop5_yes,prop5_no,prop6_yes,prop6_no,prop32_yes,prop32_no,prop33_yes,prop33_no,prop34_yes,prop34_no,prop35_yes,prop35_no,prop36_yes,prop36_no,prop2_total,prop2_yes_pct,prop2_outcome,prop3_total,prop3_yes_pct,prop3_outcome,prop4_total,prop4_yes_pct,prop4_outcome,prop5_total,prop5_yes_pct,prop5_outcome,prop6_total,prop6_yes_pct,prop6_outcome,prop32_total,prop32_yes_pct,prop32_outcome,prop33_total,prop33_yes_pct,prop33_outcome,prop34_total,prop34_yes_pct,prop34_outcome,prop35_total,prop35_yes_pct,prop35_outcome,prop36_total,prop36_yes_pct,prop36_outcome,num_yes_props,prop2_matches_state,prop3_matches_state,prop4_matches_state,prop5_matches_state,prop6_matches_state,prop32_matches_state,prop33_matches_state,prop34_matches_state,prop35_matches_state,prop36_matches_state,match_state_count
Mariposa,4285,4827,4153,4963,4123,5044,2791,6305,2930,6097,3049,6075,2450,6551,4328,4523,5409,3655,6593,2521,9112,0.4702589991220369,No,9116,0.45557261956998685,No,9167,0.44976546307407006,No,9096,0.3068381706244503,No,9027,0.32458181012518,No,9124,0.33417360806663743,No,9001,0.27219197866903677,No,8851,0.48898429555982376,No,9064,0.596756398940865,Yes,9114,0.7233925828395874,Yes,2,0,0,0,1,1,1,1,0,1,1,6
Mendocino,23215,14420,25895,11856,23782,14071,18193,18961,18604,18068,20364,17127,15087,21529,15990,19378,27154,10059,22336,14714,37635,0.6168460209910988,Yes,37751,0.685942094249159,Yes,37853,0.6282725279370195,Yes,37154,0.4896646390698175,No,36672,0.5073080279232112,Yes,37491,0.5431703608866127,Yes,36616,0.41203299104216734,No,35368,0.45210359647138654,No,37213,0.7296912369333297,Yes,37050,0.6028609986504724,Yes,7,1,1,1,1,0,0,1,0,1,1,7
Merced,46880,35069,40741,40996,46709,35315,35283,46309,30434,50622,36655,45683,32690,49236,41044,39551,54088,27641,59600,21434,81949,0.5720631124235805,Yes,81737,0.49844011891799306,No,82024,0.5694552813810592,Yes,81592,0.4324321011863908,No,81056,0.37546881168574814,No,82338,0.4451771964342102,No,81926,0.39901862656543713,No,80595,0.5092623611886593,Yes,81729,0.6617969141920249,Yes,81034,0.7354937433669818,Yes,5,1,0,1,1,1,1,1,1,1,1,9
Modoc,1358,2526,1387,2506,1393,2491,959,2896,1008,2825,1011,2889,845,3008,1520,2226,1937,1891,2927,939,3884,0.34963954685890836,No,3893,0.35628050346776263,No,3884,0.3586508753861998,No,3855,0.24876783398184177,No,3833,0.2629793895121315,No,3900,0.2592307692307692,No,3853,0.21930962886062808,No,3746,0.40576615056059795,No,3828,0.5060083594566354,Yes,3866,0.7571132953957579,Yes,2,0,0,0,1,1,1,1,0,1,1,6
Mono,3089,2757,3926,1918,3560,2329,2503,3233,2449,3168,2620,3181,1993,3654,2565,2843,3697,1950,3474,2193,5846,0.5283954840916866,Yes,5844,0.6718001368925394,Yes,5889,0.6045168959076244,Yes,5736,0.4363668061366806,No,5617,0.4359978636282713,No,5801,0.45164626788484746,No,5647,0.3529307596954135,No,5408,0.4742973372781065,No,5647,0.6546839029573225,Yes,5667,0.6130227633668608,Yes,5,1,1,1,1,1,1,1,0,1,1,9
Monterey,87361,54211,93834,48009,91752,50247,70930,69993,65652,73707,80413,61852,61955,78696,71799,65246,102018,38598,88422,51780,141572,0.6170782358093408,Yes,141843,0.6615342315094859,Yes,141999,0.6461453953901084,Yes,140923,0.5033245105483136,Yes,139359,0.4710998213247799,No,142265,0.5652338944926721,Yes,140651,0.4404874476541226,No,137045,0.5239082053340144,Yes,140616,0.7255077658303465,Yes,140202,0.6306757392904524,Yes,8,1,1,1,0,1,0,1,1,1,1,8
Napa,35161,27001,43574,18975,38403,24270,27312,34672,28390,32930,33945,28810,23240,37948,27764,31720,44569,17276,41639,20479,62162,0.5656349538303144,Yes,62549,0.6966378359366256,Yes,62673,0.6127519027332344,Yes,61984,0.44062983995869903,No,61320,0.46298108284409656,No,62755,0.540913074655406,Yes,61188,0.3798130352356671,No,59484,0.46674736063479255,No,61845,0.720656479909451,Yes,62118,0.670321001964004,Yes,6,1,1,1,1,1,0,1,0,1,1,8
Nevada,31407,28310,37848,22179,33353,27076,24297,35088,25503,33128,24554,35359,18629,40208,22905,33567,38246,21107,39583,20102,59717,0.5259306395163856,Yes,60027,0.6305162676795442,Yes,60429,0.5519369838984594,Yes,59385,0.40914372316241476,No,58631,0.43497467210178914,No,59913,0.40982758332916064,No,58837,0.31662049390689534,No,56472,0.40559923501912454,No,59353,0.6443819183529055,Yes,59685,0.6631984585741811,Yes,5,1,1,1,1,1,1,1,0,1,1,9
Orange,711878,620772,767402,566501,706429,629160,509400,812308,550614,752443,516820,825857,475292,846721,708486,571660,857322,463356,998326,341060,1332650,0.5341822684125614,Yes,1333903,0.5753057006394018,Yes,1335589,0.5289269378528874,Yes,1321708,0.38541039321847187,No,1303057,0.42255557508228725,No,1342677,0.38491759373252094,No,1322013,0.35952142679383636,No,1280146,0.5534415605719972,Yes,1320678,0.6491529350833436,Yes,1339386,0.7453609340399258,Yes,6,1,1,1,1,1,1,1,1,1,1,10
Placer,103936,122453,121006,105599,104585,122698,67024,157681,74911,145835,69454,157346,63207,159375,90454,124423,130840,92375,173510,52600,226389,0.45910357835407195,No,226605,0.5339952781271375,Yes,227283,0.4601532010753114,No,224705,0.2982755167886785,No,220746,0.3393538274759226,No,226800,0.30623456790123454,No,222582,0.28397174973717554,No,214877,0.42095710569302436,No,223215,0.5861613242837623,Yes,226110,0.767369864225377,Yes,3,0,1,0,1,1,1,1,0,1,1,7
