county_name,county_fips,year,dem_share,rep_share,margin,winner
Mendocino,6045,2004,0.6387019041881663,0.33932266429188823,-0.29937923989627807,Democrat
Merced,6047,2004,0.4226594184140133,0.5655880576408664,0.14292863922685312,Republican
Modoc,6049,2004,0.25785457809694795,0.7259874326750448,0.4681328545780969,Republican
Mono,6051,2004,0.4930581613508443,0.49174484052532835,-0.00131332082551594,Democrat
Monterey,6053,2004,0.6041318730729702,0.38410521582733814,-0.22002665724563208,Democrat
Napa,6055,2004,0.5962277517045957,0.390666784733906,-0.20556096697068976,Democrat
Nevada,6057,2004,0.45069688680474146,0.5357375462885428,0.0850406594838013,Republican
Orange,6059,2004,0.39060892801240293,0.5980009242557505,0.20739199624334753,Republican
Placer,6061,2004,0.3633528392559417,0.6274739285364019,0.26412108928046024,Republican
Plumas,6063,2004,0.36938629450706745,0.6177312578278762,0.24834496332080874,Republican
Riverside,6065,2004,0.41086980724821415,0.5790688152965978,0.16819900804838367,Republican
Sacramento,6067,2004,0.4963808165448387,0.4940358457521001,-0.0023449707927385988,Democrat
San Benito,6069,2004,0.5260881174899866,0.46451268357810416,-0.06157543391188247,Democrat
San Bernardino,6071,2004,0.4357288097984418,0.5534023111192726,0.11767350132083082,Republican
San Diego,6073,2004,0.46440052082598204,0.5257951770667194,0.061394656240737366,Republican
San Francisco,6075,2004,0.8337955041595374,0.1527130410840364,-0.681082463075501,Democrat
San Joaquin,6077,2004,0.4591541120287064,0.532851375953141,0.07369726392443465,Republican
San Luis Obispo,6079,2004,0.4566138347571261,0.5285393363234276,0.07192550156630156,Republican
San Mateo,6081,2004,0.696719551389236,0.29328315914347164,-0.4034363922457644,Democrat
Santa Barbara,6083,2004,0.5340073909830008,0.45413747228381374,-0.07986991869918703,Democrat
Santa Clara,6085,2004,0.6407086459989313,0.3469783310709675,-0.2937303149279638,Democrat
Santa Cruz,6087,2004,0.7319461444308446,0.24934898507389122,-0.48259715935695335,Democrat
Shasta,6089,2004,0.31376416444289745,0.6735635740160627,0.35979940957316525,Republican
Sierra,6091,2004,0.33213367609254496,0.642159383033419,0.31002570694087406,Republican
Siskiyou,6093,2004,0.37770215213535924,0.6074390068542396,0.22973685471888033,Republican
Solano,6095,2004,0.5720893334946822,0.41884151506595135,-0.1532478184287308,Democrat
Sonoma,6097,2004,0.6736778491164456,0.30990971341848533,-0.36376813569796024,Democrat
Stanislaus,6099,2004,0.40428412386437046,0.5869332160479404,0.1826490921835699,Republican
Sutter,6101,2004,0.3185271189251949,0.6718858848896998,0.3533587659645049,Republican
Tehama,6103,2004,0.3206152531510361,0.6653279213843196,0.3447126682332835,Republican
Trinity,6105,2004,0.42938725111899984,0.5494675104182745,0.12008025929927463,Republican
Tulare,6107,2004,0.3290898226637904,0.6623421343136957,0.3332523116499053,Republican
Tuolumne,6109,2004,0.3858255689628838,0.6012295707957843,0.21540400183290054,Republican
Ventura,6111,2004,0.4757261695892416,0.5123342569245372,0.03660808733529558,Republican
Yolo,6113,2004,0.5955505561804775,0.38890971961838106,-0.20664083656209642,Democrat
Yuba,6115,2004,0.3155937846836848,0.6701442841287458,0.354550499445061,Republican
Alameda,6001,2008,0.7875735271621777,0.1925111387712973,-0.5950623883908803,Democrat
Alpine,6003,2008,0.6098265895953757,0.36416184971098264,-0.24566473988439308,Democrat
Amador,6005,2008,0.41536416799574694,0.5614566719829878,0.14609250398724083,Republican
Butte,6007,2008,0.4984795321637427,0.4750165268243071,-0.023463005339435572,Democrat
Calaveras,6009,2008,0.4210503732944306,0.5507165536771647,0.12966618038273403,Republican
Colusa,6011,2008,0.3995955825167211,0.5806501788769638,0.18105459636024268,Republican
Contra Costa,6013,2008,0.6796922395660356,0.3020834717148234,-0.3776087678512122,Democrat
Del Norte,6015,2008,0.45357255272269437,0.5211415381387052,0.06756898541601086,Republican
El Dorado,6017,2008,0.4361427372317758,0.5414415771689302,0.10529883993715433,Republican
Fresno,6019,2008,0.50206214720389,0.48116155996018933,-0.02090058724370064,Democrat
Glenn,6021,2008,0.3779734790970746,0.5982386881263285,0.2202652090292539,Republican
Humboldt,6023,2008,0.6228443203037959,0.3407190045035856,-0.2821253158002103,Democrat
Imperial,6025,2008,0.6224111282843895,0.36084492529623907,-0.2615662029881504,Democrat
Inyo,6027,2008,0.438649947263565,0.5300597679596859,0.09140982069612091,Republican
Kern,6029,2008,0.40136139145372557,0.5788834013313292,0.17752200987760364,Republican
Kings,6031,2008,0.42004671299988605,0.561410504728267,0.14136379172838098,Republican
Lake,6033,2008,0.5815519536449769,0.3889671912927727,-0.19258476235220423,Democrat
Lassen,6035,2008,0.3149205234038816,0.6571528936506542,0.3422323702467726,Republican
Los Angeles,6037,2008,0.6918871042791256,0.28823192238795897,-0.4036551818911666,Democrat
Madera,6039,2008,0.4238460630386023,0.5567937669696612,0.13294770393105892,Republican
Marin,6041,2008,0.7797599092705265,0.20245796985670164,-0.5773019394138249,Democrat
Mariposa,6043,2008,0.4248264428556626,0.5489586571339757,0.12413221427831311,Republican
Mendocino,6045,2008,0.695796681327469,0.2679178328668533,-0.4278788484606157,Democrat
Merced,6047,2008,0.5333343781344032,0.4498495486459378,-0.08348482948846542,Democrat
Modoc,6049,2008,0.29705882352941176,0.6744343891402715,0.3773755656108598,Republican
Mono,6051,2008,0.5551965535810447,0.422545323999282,-0.13265122958176268,Democrat
Monterey,6053,2008,0.6815453487744928,0.2989374571399952,-0.3826078916344976,Democrat
Napa,6055,2008,0.6513698400456055,0.32668253915026324,-0.32468730089534226,Democrat
Nevada,6057,2008,0.5142595288155696,0.4611749061045519,-0.05308462271101766,Democrat
Orange,6059,2008,0.47634930444739343,0.5019246988134564,0.02557539436606293,Republican
Placer,6061,2008,0.433905041390585,0.5467543195826858,0.11284927819210083,Republican
Plumas,6063,2008,0.4275480594849474,0.5472433804860355,0.1196953210010881,Republican
Riverside,6065,2008,0.5021126249229491,0.47897648536456877,-0.023136139558380286,Democrat
Sacramento,6067,2008,0.5849296157279325,0.39471928530902733,-0.19021033041890512,Democrat
San Benito,6069,2008,0.604770362852068,0.3768079167723928,-0.2279624460796752,Democrat
San Bernardino,6071,2008,0.5207031108267061,0.4575168141651301,-0.06318629666157594,Democrat
San Diego,6073,2008,0.5414748583928964,0.43948931275572745,-0.101985545637169,Democrat
